disease,symptoms_list,cures_list,doctors_list,risk_category
flu,"['fever', 'cough', 'sore throat', 'runny or stuffy nose', 'muscle aches', 'headache', 'fatigue']",Low,"['over-the-counter medications', 'rest', 'fluids']","['family doctor', 'urgent care']"
bronchitis,"['cough', 'mucus production', 'shortness of breath', 'chest pain']",Low,"['antibiotics', 'over-the-counter medications', 'rest', 'fluids']","['family doctor', 'pulmonologist']"
pneumonia,"['fever', 'cough', 'shortness of breath', 'chest pain', 'fatigue']",Moderate,"['antibiotics', 'over-the-counter medications', 'rest', 'fluids']","['family doctor', 'pulmonologist']"
heart attack,"['chest pain', 'shortness of breath', 'nausea', 'vomiting', 'lightheadedness', 'sweating']",High,['emergency medical services'],['cardiologist']
stroke,"['sudden weakness', 'numbness on one side of the body', 'confusion', 'difficulty speaking', 'trouble seeing in one eye', 'severe headache']",High,['emergency medical services'],['neurologist ']
cancer,"['lump', 'unexplained weight loss', 'fatigue', 'changes in bowel', 'bladder habits', 'persistent cough', 'indigestion', 'unexplained bleeding or discharge']",Unknown,"['surgery', 'chemotherapy', 'radiation therapy ']",['oncologist']
diabetes,"['increased thirst', 'frequent urination', 'unexplained weight loss', 'fatigue', 'blurred vision', 'cuts that are slow to heal']",High,"['diet', 'exercise', 'medication']",['endocrinologist']
alzheimer's disease,"['memory loss', 'confusion', 'difficulty thinking', 'changes in personality or behavior']",High,"[""there is no cure for alzheimer's disease"", 'but there are treatments that can help manage the symptoms']",['neurologist']
arthritis,"['pain', 'stiffness', 'swelling', 'inflammation in the joints']",Unknown,"['medication', 'physical therapy', 'lifestyle changes']",['rheumatologist']
adenovirus,"['fever', 'sore throat', 'cough', 'conjunctivitis', 'rash', 'pink eye']",Low,"['antibiotics', 'over-the-counter medications', 'rest', 'fluids']","['family doctor', 'urgent care']"
aflatoxicosis,"['vomiting', 'diarrhea', 'jaundice', 'liver damage', 'death']",High,"['there is no cure for aflatoxicosis', 'but treatment may include supportive care', 'liver transplantation']",['gastroenterologist']
alcoholism,"['physical dependence on alcohol', 'tolerance to alcohol', 'withdrawal symptoms', 'impaired judgment', 'memory problems', 'liver damage', 'heart disease', 'cancer']",High,"['\xa0treatment for alcoholism may include counseling', 'medication', 'support groups']","['\xa0psychiatrist', 'addiction specialist']"
allergic rhinitis,"['runny nose', 'sneezing', 'itchy eyes', 'itchy nose', 'throat', 'palate']",Low,"['over-the-counter medications', 'allergy shots']",['allergist']
alzheimer's disease,"['memory loss', 'confusion', 'difficulty thinking', 'changes in personality or behavior']",High,"[""there is no cure for alzheimer's disease"", 'but there are treatments that can help manage the symptoms']",['neurologist']
anemia,"['fatigue', 'shortness of breath', 'pale skin', 'lightheadedness', 'dizziness']",Unknown,[' '],['\xa0hematologist ']
anxiety disorder,"['excessive worry', 'fear', 'anxiety that interfere with daily life']",Unknown,"['treatment for anxiety disorders may include therapy', 'medication', 'combination of both']","['psychologist', 'psychiatrist']"
appendicitis,"['pain in the lower right abdomen', 'nausea', 'vomiting', 'fever']",High,['appendectomy'],['surgeon ']
arthritis,"['pain', 'stiffness', 'swelling', 'inflammation in the joints']",Unknown,"['medication', 'physical therapy', 'lifestyle changes']",['rheumatologist']
asperger syndrome,"['difficulty with social interaction', 'repetitive behaviors', 'restricted interests']",Unknown,"['there is no cure for asperger syndrome', 'but there are treatments that can help manage the symptoms']","['psychologist', 'psychiatrist']"
asthma,"['wheezing', 'shortness of breath', 'coughing', 'chest tightness']",Unknown,"['treatment for asthmmay include medication', 'lifestyle changes', 'allergy shots']","['\xa0allergist', 'pulmonologist']"
bacterial meningitis,"['fever', 'headache', 'stiff neck', 'nausea', 'vomiting', 'sensitivity to light']",High,['antibiotics'],"['neurologist', 'neurosurgeon']"
bipolar disorder,"['extreme mood swings', 'from manito depression']",Unknown,"['treatment for bipolar disorder may include medication', 'therapy', 'combination of both']","['\xa0psychologist', 'psychiatrist']"
bladder cancer,"['blood in the urine', 'pain or burning when urinating', 'frequent urination', 'urgency to urinate', 'incontinence']",High,"['surgery', 'chemotherapy', 'radiation therapy']",['urologist']
blood clot,"['pain', 'swelling', 'redness', 'warmth', 'tenderness in the affected area', 'shortness of breath', 'chest pain', 'difficulty breathing', 'coughing up blood']",High,"['treatment for blood clot may include medication', 'surgery', 'combination of both']","['cardiologist', 'hematologist']"
bronchitis,"['cough', 'mucus production', 'shortness of breath', 'chest pain']",Low,"['antibiotics', 'over-the-counter medications', 'rest', 'fluids']","['family doctor', 'pulmonologist']"
bursitis,"['pain', 'swelling', 'inflammation in bursa', 'which is small sac of fluid that cushions joints']",Unknown,"['medication', 'rest', 'ice', 'compression', 'elevation']","['family doctor', 'orthopedist']"
cancer,"['lump', 'unexplained weight loss', 'fatigue', 'changes in bowel', 'bladder habits', 'persistent cough', 'indigestion', 'unexplained bleeding or discharge']",Unknown,"['surgery', 'chemotherapy', 'radiation therapy']",['oncologist']
cervical cancer,"['abnormal pap test results', 'abnormal vaginal bleeding', 'pain during sex']",High,"['surgery', 'chemotherapy', 'radiation therapy']",['gynecologist']
chickenpox,"['rash', 'fever', 'headache', 'muscle aches', 'fatigue']",Low,"['antiviral medication', 'over-the-counter medications', 'rest', 'fluids']","['family doctor', 'urgent care']"
chronic obstructive pulmonary disease (copd),"['chronic bronchitis', 'emphysema']",Unknown,"['treatment for copd may include medication', 'lifestyle changes', 'oxygen therapy']",['pulmonologist']
cholesterol,['high levels of cholesterol in the blood'],Unknown,"['diet', 'exercise', 'medication']",['cardiologist']
common cold,"['runny nose', 'sneezing', 'sore throat', 'cough', 'congestion']",Low,"['over-the-counter medications', 'rest', 'fluids']","['family doctor', 'urgent care']"
conjunctivitis,"['red', 'itchy', 'watery eyes']",Low,"['over-the-counter medications', 'warm compresses']","['family doctor', 'ophthalmologist']"
depression ,"['sadness', 'hopelessness', 'loss of interest in activities', 'changes in appetite', 'sleep', 'energy levels']",Unknown,"['treatment for depression may include medication', 'therapy', 'combination of both']","['psychologist', 'psychiatrist']"
diabetes,"['increased thirst', 'frequent urination', 'unexplained weight loss', 'fatigue', 'blurred vision', 'cuts that are slow to heal']",High,"['diet', 'exercise', 'medication']",['endocrinologist']
diarrhea,"['loose', 'watery stools']",Low,"['over-the-counter medications', 'rest', 'fluids']","['family doctor', 'urgent care']"
eating disorder,['disturbance in eating behavior that can lead to serious health problems'],Unknown,"['treatment for eating disorders may include therapy', 'medication', 'support groups']","['psychologist', 'psychiatrist']"
epilepsy,['seizures'],Unknown,"['medication', 'surgery']",['\xa0neurologist ']
fever,['elevated body temperature '],Low,"['over-the-counter medications', 'rest', 'fluids']","['family doctor', 'urgent care']"
