Clinic_Name,Province,District,City,Area,Phone,Phone_Status,Clinic_Type,Services,Latitude,Longitude,Geocode_Status
KwaDlangezwa Clinic,KwaZulu-Natal,King Cetshwayo,KwaDlangezwa,KwaDlangezwa,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Empangeni Clinic,KwaZulu-Natal,King Cetshwayo,Empangeni,Empangeni CBD,035 907 5000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Ngwelezane Hospital Clinic,KwaZulu-Natal,King Cetshwayo,Empangeni,Ngwelezane,035 901 7000,available,Hospital,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Richards Bay Clinic,KwaZulu-Natal,King Cetshwayo,Richards Bay,Richards Bay CBD,035 901 5201,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Merebank Clinic,KwaZulu-Natal,eThekwini,Durban,Merebank,031 468 4000,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Eshowe Clinic,KwaZulu-Natal,King Cetshwayo,Eshowe,Eshowe,035 474 1041,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Mtunzini Clinic,KwaZulu-Natal,King Cetshwayo,Mtunzini,Mtunzini,035 340 1611,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Gingindlovu Clinic,KwaZulu-Natal,King Cetshwayo,Gingindlovu,Gingindlovu,,to_verify,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Nkandla Clinic,KwaZulu-Natal,King Cetshwayo,Nkandla,Nkandla,035 833 0100,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
Melmoth Clinic,KwaZulu-Natal,King Cetshwayo,Melmoth,Melmoth,035 450 2011,available,Clinic,"Primary Healthcare, Chronic Medication, Maternal & Child Health, Family Planning, HIV Testing & Treatment, TB Treatment, Immunisations, Minor Ailments",,,pending
