Clinic_ID,Clinic_Name,Province,City,Clinic_Type,Latitude,Longitude,Phone,Operating_Hours,Services,Treatable_Conditions,Has_Pharmacy,Wheelchair_Access,Emergency_Services
1,Johannesburg Health Facility,Gauteng,Johannesburg,Community Health Centre,-25.574307,27.71186,010 745 7626,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",No,Yes,No
2,Johannesburg Medical Centre,Gauteng,Johannesburg,Primary Care Clinic,-25.707843,27.531797,011 180 1250,24 Hours Emergency Services Available,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Limited,Yes
3,Johannesburg Medical Centre,Gauteng,Johannesburg,Primary Care Clinic,-26.146892,28.000057,010 710 6240,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
4,Pretoria Regional Clinic,Gauteng,Pretoria,Community Health Centre,-26.3069,28.091423,011 224 7766,24 Hours Emergency Services Available,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tuberculosis, hiv",Yes,Yes,Yes
5,Pretoria Regional Clinic,Gauteng,Pretoria,District Hospital,-25.763756,28.164469,011 374 3097,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tuberculosis, hiv, pneumonia, stroke, heart disease, diabetes",Yes,Yes,Yes
6,Pretoria Health Facility,Gauteng,Pretoria,Specialist Clinic,-25.60128,28.108638,010 855 7228,24 Hours Emergency Services Available,"Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Limited,Yes
7,Pretoria Regional Clinic,Gauteng,Pretoria,Health Centre,-26.448493,27.605568,010 898 1450,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Limited,No
8,Soweto Medical Centre,Gauteng,Soweto,Health Centre,-25.538308,27.863443,011 151 2304,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Primary Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tuberculosis, hiv, allergy",Yes,Yes,No
9,Soweto Regional Clinic,Gauteng,Soweto,Specialist Clinic,-25.844307,28.014132,010 522 6217,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Specialist Consultation, Dental, Eye Care, Mental Health","migraine, vertigo, stroke, skin conditions, allergy",Yes,Limited,No
10,Soweto Health Facility,Gauteng,Soweto,Primary Care Clinic,-25.820276,28.179637,010 109 5830,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma, hypertension",Yes,Yes,No
