question,answer,tags
What causes a headache?,"Headaches can be caused by tension, migraines, dehydration, stress, lack of sleep, eye strain, sinus infections, or high blood pressure. If headaches are frequent or severe, see a doctor.",headache head pain
How do I treat a headache?,"Rest in a quiet dark room. Drink water. Take paracetamol or ibuprofen if needed. Apply a cold or warm compress. Avoid screen glare and stress. Seek medical help if the headache is sudden and severe.",headache head pain treat relief
What is a migraine?,"A migraine is a severe headache often on one side of the head. It can come with nausea, vomiting, and sensitivity to light or sound. Migraines can last hours to days.",migraine headache
How do I treat a migraine?,"Rest in a dark quiet room. Apply a cold compress. Take pain relievers early. Avoid triggers like certain foods, stress, or lack of sleep. See a doctor if migraines are frequent.",migraine treat headache
What is a tension headache?,"A tension headache feels like a tight band around the head. It is usually caused by stress, poor posture, or eye strain. It is the most common type of headache.",tension headache stress
What is a cluster headache?,"Cluster headaches are severe headaches on one side of the head, often around the eye. They come in clusters over weeks or months. They are more common in men.",cluster headache
What is HIV?,"HIV (Human Immunodeficiency Virus) attacks the body's immune system. If untreated, it can lead to AIDS. It is spread through unprotected sex, shared needles, or from mother to child. With treatment, people with HIV can live long healthy lives.",hiv aids immune virus
How is HIV transmitted?,"HIV spreads through unprotected sex, sharing needles, blood transfusions with infected blood, and from mother to child during pregnancy, birth, or breastfeeding. It is NOT spread by hugging, kissing, or sharing food.",hiv aids transmission spread
How do I prevent HIV?,"Use condoms consistently. Never share needles. Get tested regularly. If you're at high risk, ask your doctor about PrEP (pre-exposure prophylaxis). Pregnant women should get tested early.",hiv aids prevent prevention
What is AIDS?,"AIDS (Acquired Immunodeficiency Syndrome) is the most advanced stage of HIV infection. It happens when the immune system is severely damaged. With modern treatment, most people with HIV do not progress to AIDS.",aids hiv immune
What is diabetes?,"Diabetes is a chronic condition where the body cannot properly regulate blood sugar. Type 1 is when the body doesn't make insulin. Type 2 is when the body doesn't use insulin well. Symptoms include thirst, frequent urination, fatigue, and blurred vision.",diabetes sugar blood glucose
What causes diabetes?,"Type 1 diabetes is caused by an autoimmune reaction. Type 2 diabetes is linked to genetics, obesity, poor diet, lack of exercise, and age. Managing weight, diet, and activity reduces risk.",diabetes cause causes
How do I prevent diabetes?,"Maintain a healthy weight. Eat a balanced diet low in sugar and processed foods. Exercise at least 30 minutes most days. Get regular blood sugar checks if you're at risk.",diabetes prevent prevention
What are symptoms of diabetes?,"Increased thirst, frequent urination, extreme fatigue, blurred vision, slow-healing wounds, and unexplained weight loss.",diabetes symptoms
How is diabetes treated?,"Type 1 is treated with insulin. Type 2 is managed with diet, exercise, oral medication, and sometimes insulin. Regular monitoring of blood sugar is essential.",diabetes treat treatment
What is high blood pressure?,"High blood pressure (hypertension) means the force of blood against your artery walls is too high. It usually has no symptoms but damages the heart, brain, and kidneys over time. Normal is below 120/80.",blood pressure hypertension high
How do I lower my blood pressure?,"Reduce salt. Exercise regularly. Lose excess weight. Limit alcohol. Quit smoking. Manage stress. Take medication if prescribed. Monitor your BP at home.",blood pressure hypertension lower
What is low blood pressure?,"Low blood pressure (hypotension) is when blood pressure is below 90/60. It can cause dizziness, fainting, and fatigue. It is only a problem if it causes symptoms.",blood pressure hypotension low
What is asthma?,"Asthma is a chronic condition where airways narrow and swell, making breathing difficult. Symptoms include wheezing, coughing, chest tightness, and shortness of breath. Triggers include dust, pollen, cold air, and exercise.",asthma breathing wheeze
