Clinic_ID,Province,City,Area,Clinic_Name,Clinic_Type,Latitude,Longitude,Phone,Operating_Hours,Services,Treatable_Conditions,Emergency_Services,Wheelchair_Access,Has_Pharmacy
1,KwaZulu-Natal,Durban,Durban Central,Durban Central District Hospital,District Hospital,-29.828941,30.986382,010 956 7784,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Limited,No
2,KwaZulu-Natal,Durban,Durban Central,Durban Central Community Health Centre,Community Health Centre,-29.803555,30.965131,010 157 3874,"Mon-Fri 08:00-16:00, Sat-Sun Closed","General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",No,Yes,Yes
3,KwaZulu-Natal,Durban,Umlazi,Umlazi Health Centre,Health Centre,-29.872225,31.049837,012 116 1754,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,Yes
4,KwaZulu-Natal,Durban,Umlazi,Umlazi Medical Centre,Primary Care Clinic,-29.867338,31.056308,010 744 8839,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Yes,Yes
5,KwaZulu-Natal,Durban,Umlazi,Umlazi District Hospital,District Hospital,-29.839583,30.935172,012 339 7133,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
6,KwaZulu-Natal,Durban,Umlazi,Umlazi District Hospital,District Hospital,-29.898242,30.978111,012 813 5741,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
7,KwaZulu-Natal,Durban,Chatsworth,Chatsworth Medical Centre,Mobile Clinic,-29.824279,31.09959,012 895 2075,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Limited,Yes
8,KwaZulu-Natal,Durban,Chatsworth,Chatsworth District Hospital,District Hospital,-29.855737,30.965587,011 219 9002,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,No
9,KwaZulu-Natal,Durban,Phoenix,Phoenix Mobile Clinic,Mobile Clinic,-29.8923,31.068785,011 767 7774,24 Hours Emergency Services,"Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",Yes,Yes,No
10,KwaZulu-Natal,Durban,Phoenix,Phoenix Medical Centre,Primary Care Clinic,-29.802456,30.945061,012 138 2823,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Limited,No
11,KwaZulu-Natal,Durban,Phoenix,Phoenix Medical Centre,Community Health Centre,-29.863634,31.088078,012 213 1791,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Yes,Yes
12,KwaZulu-Natal,Durban,Phoenix,Phoenix Health Centre,Health Centre,-29.836359,30.904021,012 830 7823,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,Yes
13,KwaZulu-Natal,Durban,Inanda,Inanda Medical Centre,Health Centre,-29.805688,30.986293,011 584 4598,"Mon-Fri 07:00-18:00, Sat 08:00-14:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,No
14,KwaZulu-Natal,Durban,Inanda,Inanda Medical Centre,Primary Care Clinic,-29.842551,30.953142,012 158 5219,24 Hours Emergency Services,"General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",Yes,Limited,Yes
15,KwaZulu-Natal,Durban,KwaMashu,KwaMashu Community Health Centre,Community Health Centre,-29.819328,30.960307,012 259 4638,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Yes,No
16,KwaZulu-Natal,Durban,KwaMashu,KwaMashu Medical Centre,Health Centre,-29.865657,30.902621,010 253 8977,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,No
17,KwaZulu-Natal,Durban,KwaMashu,KwaMashu Medical Centre,Mobile Clinic,-29.842383,31.056013,011 648 3764,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,Yes
18,KwaZulu-Natal,Durban,KwaMashu,KwaMashu Health Centre,Health Centre,-29.882943,31.055529,012 746 7901,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Limited,Yes
19,KwaZulu-Natal,Durban,Merebank,Merebank Medical Centre,District Hospital,-29.823687,30.906052,010 422 4385,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
20,KwaZulu-Natal,Durban,Merebank,Merebank Medical Centre,Health Centre,-29.869072,31.065049,012 463 6405,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Yes,No
21,KwaZulu-Natal,Pietermaritzburg,Pietermaritzburg Central,Pietermaritzburg Central Medical Centre,Community Health Centre,-29.659564,30.376248,010 434 7537,24 Hours Emergency Services,"General Consultation, HIV/TB Testing, Immunizations, Maternal Health, Child Health","flu, cold, fever, headache, diarrhea, malaria, tb, hiv",Yes,Limited,Yes
22,KwaZulu-Natal,Pietermaritzburg,Pietermaritzburg Central,Pietermaritzburg Central Medical Centre,District Hospital,-29.562523,30.365459,010 303 2677,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,Yes
23,KwaZulu-Natal,Pietermaritzburg,Pietermaritzburg Central,Pietermaritzburg Central Primary Care Clinic,Primary Care Clinic,-29.523219,30.406722,012 321 6250,"Mon-Fri 07:00-17:00, Sat 08:00-13:00","General Consultation, Immunizations, Health Screening, Family Planning","flu, cold, fever, headache, diarrhea, allergy, asthma",No,Yes,No
24,KwaZulu-Natal,Pietermaritzburg,Imbali,Imbali Medical Centre,Health Centre,-29.685758,30.483019,011 538 1088,24 Hours Emergency Services,"Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",Yes,Limited,No
25,KwaZulu-Natal,Pietermaritzburg,Imbali,Imbali District Hospital,District Hospital,-29.545682,30.46421,012 237 9618,24 Hours Emergency Services,"Emergency Care, General Surgery, Maternity, Pediatrics, Specialist Referral","malaria, typhoid, tb, hiv, pneumonia, stroke, diabetes, hypertension",Yes,Yes,No
26,KwaZulu-Natal,Pietermaritzburg,Edendale,Edendale Medical Centre,Mobile Clinic,-29.578919,30.3498,011 984 1498,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Primary Care, HIV/TB Testing, Immunizations, Health Education","flu, cold, fever, malaria, tb, hiv",No,Yes,No
27,KwaZulu-Natal,Pietermaritzburg,Edendale,Edendale Health Centre,Health Centre,-29.693225,30.384778,011 762 6860,"Mon-Fri 08:00-16:00, Sat-Sun Closed","Comprehensive Care, HIV/TB Services, Maternal Health, Chronic Disease Management","diabetes, hypertension, asthma, arthritis, tb, hiv",No,Limited,Yes
