Disease,Description,Symptoms,Precautions
Flu,"A viral infection that attacks your respiratory system. Symptoms include fever, chills, muscle aches, cough, congestion, runny nose, headaches and fatigue.","Fever, cough, sore throat, body ache, fatigue","Annual flu vaccine, hand hygiene, stay home when sick"
Malaria,"A disease caused by parasites transmitted by infected mosquitoes. Symptoms include fever, chills, and flu-like illness. Can be life-threatening if not treated.","Fever, chills, headache, vomiting, sweating","Use mosquito nets, take antimalarial medication, seek immediate care"
COVID-19,An infectious disease caused by the SARS-CoV-2 virus. Most people experience mild to moderate respiratory illness. Older people are at higher risk.,"Fever, cough, difficulty breathing, loss of taste","Wear masks, practice social distancing, get vaccinated"
Tuberculosis,"A bacterial infection affecting the lungs. Symptoms include chronic cough with blood, fever, night sweats, and weight loss.","Cough, weight loss, night sweats, fever, chest pain","Complete TB medication, cover mouth when coughing, maintain nutrition"
Common Cold,"A viral infection of the upper respiratory tract. Symptoms include runny nose, sneezing, sore throat, cough, and mild fever.","Runny nose, sneezing, sore throat, cough, mild fever","Rest, drink fluids, use over-the-counter remedies, hand washing"
Pneumonia,"An infection that inflames air sacs in the lungs. Symptoms include cough with phlegm, fever, chills, and difficulty breathing.","Fever, cough, chest pain, difficulty breathing, fatigue","Get pneumococcal vaccine, avoid smoking, complete antibiotics"
Gastroenteritis,"Inflammation of the stomach and intestines. Symptoms include diarrhea, vomiting, abdominal pain, and cramping.","Diarrhea, vomiting, abdominal pain, nausea, fever","Stay hydrated, oral rehydration, rest, bland diet"
Hepatitis B,A serious liver infection caused by hepatitis B virus. Can cause chronic infection and leads to risk of cirrhosis and liver cancer.,"Yellow skin, fatigue, abdominal pain, dark urine, fever","Get vaccinated, practice safe sex, avoid sharing needles"
Hypertension,A condition where blood pressure is too high. Usually has no symptoms. Can lead to heart disease and stroke.,"Headache, dizziness, chest pain, shortness of breath","Reduce salt, maintain weight, exercise, limit alcohol"
Type 2 Diabetes,A chronic condition affecting blood sugar processing. Occurs when body doesn't produce enough insulin or doesn't respond properly.,"Frequent urination, thirst, fatigue, blurred vision","Monitor blood sugar, healthy diet, exercise, medication"
HIV/AIDS,A chronic condition caused by HIV. Damages the immune system over time. Requires lifelong treatment.,"Fever, weight loss, fatigue, swollen lymph nodes, night sweats","Take ART daily, safe sex, regular checkups, healthy lifestyle"
Stroke,A medical emergency when blood flow to the brain is interrupted. Brain cells die within minutes. Requires immediate medical attention.,"Sudden numbness, confusion, difficulty speaking, severe headache","Call emergency immediately, note time of onset, keep person calm"
Heart Disease,"A range of conditions affecting the heart. Includes coronary artery disease, heart rhythm problems, and heart defects.","Chest pain, shortness of breath, nausea, dizziness, sweating","Heart-healthy diet, exercise, don't smoke, limit alcohol"
Asthma,"A condition where airways narrow and swell. Makes breathing difficult and triggers coughing, wheezing, and shortness of breath.","Wheezing, shortness of breath, chest tightness, coughing","Use inhaler, avoid triggers, monitor breathing, have action plan"
Arthritis,Swelling and tenderness of joints. Main symptoms include joint pain and stiffness that worsen with age.,"Joint pain, swelling, stiffness, reduced mobility","Stay active, maintain weight, hot/cold therapy, medication"
Migraine,"A neurological condition causing severe headaches. Often accompanied by nausea, vomiting, and sensitivity to light.","Severe headache, nausea, sensitivity to light, dizziness","Rest, dark room, pain relief, avoid triggers"
Allergy,"An immune response to normally harmless substances. Symptoms include sneezing, runny nose, itchy eyes, and skin rash.","Sneezing, runny nose, itchy eyes, skin rash, coughing","Antihistamines, avoid allergens, clean environment"
Bronchitis,"Inflammation of the bronchial tubes. Causes coughing, production of mucus, fatigue, shortness of breath, and mild fever.","Cough, mucus, fatigue, shortness of breath, mild fever","Avoid smoking, rest, medication, breathing exercises"
Sinusitis,"Inflammation of the sinuses. Symptoms include facial pain, nasal congestion, headache, and reduced sense of smell.","Facial pain, nasal congestion, headache, reduced smell","Nasal irrigation, rest, hydration, pain relief"
UTI,"An infection in any part of the urinary system. Symptoms include frequent urination, pain during urination, and lower abdominal pain.","Frequent urination, pain during urination, lower abdominal pain","Drink water, empty bladder, hygiene, see doctor"
