condition,precaution
Drug Reaction,stop irritation
Malaria,"Use mosquito nets, take antimalarial medication, seek immediate care"
Allergy,"Antihistamines, avoid allergens, clean environment"
Hypothyroidism,reduce stress
Psoriasis,wash hands with warm soapy water
GERD,avoid fatty spicy food
Chronic cholestasis,cold baths
hepatitis A,Consult nearest hospital
Osteoarthristis,acetaminophen
(vertigo) Paroymsal  Positional Vertigo,lie down
Hypoglycemia,lie down on side
Acne,bath twice
Diabetes ,have balanced diet
Impetigo,soak affected area in warm water
Hypertension ,meditation
Peptic ulcer diseae,avoid fatty spicy food
Dimorphic hemmorhoids(piles),avoid fatty spicy food
Common Cold,"Rest, drink fluids, use over-the-counter remedies, hand washing"
Chicken pox,use neem in bathing 
Cervical spondylosis,use heating pad or cold pack
Hyperthyroidism,eat healthy
Urinary tract infection,drink plenty of water
Varicose veins,lie down flat and raise the leg high
AIDS,avoid open cuts
Paralysis (brain hemorrhage),massage
Typhoid,eat high calorie vegitables
Hepatitis B,"Get vaccinated, practice safe sex, avoid sharing needles"
Fungal infection,bath twice
Hepatitis C,Consult nearest hospital
Migraine,"Rest, dark room, pain relief, avoid triggers"
Bronchial Asthma,switch to loose cloothing
Alcoholic hepatitis,stop alcohol consumption
Jaundice,drink plenty of water
Hepatitis E,stop alcohol consumption
Dengue,drink papaya leaf juice
Hepatitis D,consult doctor
Heart attack,call ambulance
Pneumonia,"Get pneumococcal vaccine, avoid smoking, complete antibiotics"
Arthritis,"Stay active, maintain weight, hot/cold therapy, medication"
Gastroenteritis,"Stay hydrated, oral rehydration, rest, bland diet"
Tuberculosis,"Complete TB medication, cover mouth when coughing, maintain nutrition"
Flu,"Annual flu vaccine, hand hygiene, stay home when sick"
COVID-19,"Wear masks, practice social distancing, get vaccinated"
Hypertension,"Reduce salt, maintain weight, exercise, limit alcohol"
Type 2 Diabetes,"Monitor blood sugar, healthy diet, exercise, medication"
HIV/AIDS,"Take ART daily, safe sex, regular checkups, healthy lifestyle"
Stroke,"Call emergency immediately, note time of onset, keep person calm"
Heart Disease,"Heart-healthy diet, exercise, don't smoke, limit alcohol"
Asthma,"Use inhaler, avoid triggers, monitor breathing, have action plan"
Bronchitis,"Avoid smoking, rest, medication, breathing exercises"
Sinusitis,"Nasal irrigation, rest, hydration, pain relief"
UTI,"Drink water, empty bladder, hygiene, see doctor"
