English,isiZulu,isiXhosa,Afrikaans,Sepedi
fever,umkhuhlane,umkhuhlane,koors,mmala
headache,ikhanda,intloko,hoofpyn,hlogo
cough,ukukhwehlela,ukukhohlola,hoes,kgofela
sore throat,umqala ubuhlungu,umqala ubuhlungu,seer keel,mmala wa molala
nausea,isicanucanu,isicaphucaphu,naarheid,hlatswa
vomiting,ukuhlanza,ukugabha,braking,go hlatsa
diarrhea,uhudo,urhudo,diarree,letshollo
pain,ubuhlungu,ubuhlungu,pyn,bohloko
chest pain,ubuhlungu esifubeni,ubuhlungu esifubeni,borspyn,bohloko ba sefuba
dizziness,isiyezi,isiyezi,duiseligheid,go dikologa
fatigue,ukukhathala,ukudinwa,moegheid,go lapa
shortness of breath,ukuphefumula kancane,ukuphefumla kancinci,kortasem,go hema ka thata
swelling,ukuvuvukala,ukuvuvukala,sweis,go ruru
rash,ukushintshwa kwesikhumba,irashi,uitslag,lephako
symptom,uphawu,uphawu,simptoom,letshwao
appointment,ukuvakashela,ukuvakashela,afspraak,peakanyo
medicine,umuthi,iyeza,medisyne,kalafi
doctor,udokotela,ugqirha,dokter,ngaka
nurse,umhlengikazi,umongikazi,verpleegster,mooki
malaria,umkhuhlane omubi,umkhuhlane omkhulu,malaria,malaria
flu,umkhuhlane,umkhuhlane,griep,influenza
diabetes,isifo sikashukela,isifo sikashukela,diabetes,sukiri
hypertension,umfutho wegazi,uxinzelelo lwegazi,hipertensie,kgatelelo ya madi
tuberculosis,isifo sofuba,isifo sephepha,tuberkulose,tiborokose
HIV,i-HIV,i-HIV,MIV,HIV
COVID,i-COVID,i-COVID,COVID,COVID
pneumonia,inyumoniya,inyumoniya,longontsteking,pneumonia
hepatitis,isifo sesibindi,isifo sesibindi,hepatitis,hepatitis
typhoid,i-typhoid,i-typhoid,tiptifus,typhoid
book,bhuka,bhuka,bespreek,beela
cancel,khansela,rhoxisa,kanselleer,phumula
view,buka,jonga,sien,bona
help,usizo,uncedo,hulp,thuso
emergency,isimo esiphuthumayo,imeko engxamisekileyo,noodgeval,tshoganetso
clinic,umtholampilo,ikliniki,kliniek,kliniki
hospital,isibhedlela,isibhedlele,hospitaal,sepetlele
pharmacy,ikhemisi,ikhemisi,apteek,femasie
